sequence_length,lstm_units,dropout_rate,learning_rate,batch_size,use_bidirectional,MAE,RMSE,MAPE,R2,epochs_trained,best_val_loss
60,[64],0.2,0.001,32,False,1.7395377196309294,2.212739132225847,21.13557314191802,0.7098048314501283,47,0.008534236811101437
30,[32],0.3,0.001,32,False,1.7353896810204945,2.2145848926994343,21.134806939009263,0.7081990600571758,50,0.008602861315011978
90,[64],0.3,0.001,32,False,1.741515406463923,2.2171280166753187,21.029541453498858,0.7077931721035907,43,0.008678906597197056
30,[64],0.2,0.001,32,False,1.7414106725987806,2.217461516102106,21.038441087175087,0.7074405011204143,50,0.008538768626749516
90,[64],0.2,0.001,32,False,1.7439791340506476,2.2188351289017962,21.62870152893085,0.7073430204788653,39,0.008673213422298431
90,[32],0.2,0.001,32,False,1.7496771350335538,2.225593028372832,21.260114209401504,0.7055576167510268,50,0.008675587363541126
90,[32],0.3,0.001,32,False,1.745196246699001,2.2266532386546642,21.454678259392214,0.7052770216980436,50,0.008685418404638767
60,[64],0.3,0.001,32,False,1.75270871584794,2.2348253433012832,21.274619912980317,0.7039828178469516,36,0.008601446636021137
30,[64],0.3,0.001,32,False,1.7558853814615074,2.236757335589519,22.046396003668907,0.7023267828251918,41,0.008585963398218155
30,"[64, 32]",0.2,0.001,32,False,1.754384436133158,2.2416497759801186,22.235627185964155,0.701023162466335,37,0.008553795516490936
60,[32],0.2,0.001,32,False,1.7580395756989802,2.2422167520652554,21.51534340775976,0.7020214992638991,49,0.00864889845252037
30,"[64, 32]",0.3,0.001,32,False,1.7654016887285433,2.2486032664064806,21.28488438347778,0.6991654619686627,43,0.00860676635056734
90,"[64, 32]",0.2,0.001,32,False,1.7665108676706807,2.250498281453211,22.240909863016675,0.6989308952896506,40,0.008632076904177666
60,"[64, 32]",0.2,0.001,32,False,1.7727933699042022,2.2524830039324857,21.7004729126537,0.699286593629451,50,0.008478116244077682
30,[32],0.2,0.001,32,False,1.7628123818181498,2.2541814923646353,22.092587002705073,0.6976710191228477,43,0.00864501018077135
60,"[64, 32]",0.3,0.001,32,False,1.7672344883836413,2.2593033469742285,22.013422175474645,0.6974627630641075,41,0.008658627048134804
90,"[64, 32]",0.3,0.001,32,False,1.7699841815434147,2.262804581453374,22.35539901347303,0.6956292470943599,43,0.008761713281273842
60,[32],0.3,0.001,32,False,1.7803222607105225,2.271412818664432,22.050546849163496,0.6942109782620852,44,0.008695024996995926
